date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal
2007-11-09,2008,LA Lakers,Minnesota,1,107,93,-800.0,600.0,204.0,11.0,103.0
2007-11-09,2008,Memphis,Portland,0,98,110,120.0,-140.0,208.5,-2.5,104.5
2007-11-09,2008,Miami,Phoenix,1,101,106,315.0,-375.0,195.5,-8.0,97.5
2007-11-09,2008,New Orleans,San Antonio,1,85,97,145.0,-165.0,186.0,-3.5,94.0
2007-11-09,2008,New York,Orlando,1,102,112,-115.0,-105.0,201.5,1.0,99.5
2007-11-09,2008,Philadelphia,Toronto,1,103,105,110.0,-130.0,187.5,-2.0,94.5
2007-11-09,2008,Seattle,Utah,1,101,103,240.0,-290.0,211.5,-6.5,106.0
2007-11-10,2008,Boston,New Jersey,0,112,101,-150.0,130.0,182.5,3.0,95.0
2007-11-10,2008,Chicago,Toronto,1,71,101,-260.0,220.0,189.5,6.5,93.0
2007-11-10,2008,Dallas,Portland,0,82,91,-350.0,290.0,201.5,7.5,100.0
2007-11-10,2008,Denver,Indiana,0,113,106,-125.0,105.0,212.0,1.5,103.0
2007-11-10,2008,Memphis,Utah,0,94,118,475.0,-600.0,216.0,-10.0,107.5
2007-11-10,2008,Minnesota,Sacramento,0,93,100,170.0,-200.0,193.0,-4.5,93.5
2007-11-10,2008,Orlando,Phoenix,1,96,106,105.0,-125.0,209.0,-1.5,102.5
2007-11-11,2008,Atlanta,Washington,1,90,101,-230.0,190.0,192.5,5.5,100.0
2007-11-11,2008,Charlotte,Houston,1,82,85,235.0,-275.0,186.0,-6.5,94.5
2007-11-11,2008,Cleveland,LA Clippers,0,103,95,-110.0,-110.0,192.0,0.0,95.0
2007-11-11,2008,Detroit,Seattle,0,107,103,-275.0,235.0,196.0,6.5,96.0
2007-11-11,2008,Miami,New York,0,75,72,130.0,-150.0,192.0,-3.0,93.5
2007-11-11,2008,Milwaukee,San Antonio,0,88,113,550.0,-700.0,186.5,-10.5,93.5
2007-11-11,2008,New Orleans,Philadelphia,0,93,72,-150.0,130.0,190.5,3.0,95.0
2007-11-12,2008,Cleveland,Denver,0,100,122,285.0,-335.0,208.0,-7.5,101.5
2007-11-12,2008,New Jersey,New Orleans,1,82,84,110.0,-130.0,184.5,-2.0,92.5
2007-11-12,2008,Sacramento,Utah,0,93,117,1050.0,-1700.0,206.0,-14.0,101.0
2007-11-13,2008,Boston,Indiana,0,101,86,-300.0,250.0,198.0,7.0,97.5
2007-11-13,2008,Charlotte,Miami,1,91,76,-125.0,105.0,178.0,1.5,88.5
2007-11-13,2008,Dallas,Philadelphia,1,99,84,-800.0,600.0,192.5,11.0,96.5
2007-11-13,2008,Detroit,Portland,0,94,102,-230.0,190.0,190.0,5.0,94.5
2007-11-13,2008,Houston,Memphis,0,99,105,-270.0,230.0,201.5,6.5,101.0
2007-11-13,2008,LA Lakers,San Antonio,0,92,107,305.0,-365.0,199.0,-8.0,98.0
2007-11-13,2008,New York,Phoenix,0,102,113,900.0,-1400.0,210.5,-13.0,103.0
2007-11-13,2008,Orlando,Seattle,1,103,76,-650.0,525.0,209.0,10.5,99.5
2007-11-14,2008,Atlanta,Charlotte,1,117,109,-240.0,200.0,188.0,5.5,93.5
2007-11-14,2008,Boston,New Jersey,1,91,69,-650.0,525.0,181.0,10.0,93.5
2007-11-14,2008,Cleveland,Orlando,1,116,117,-150.0,130.0,190.5,3.0,96.5
2007-11-14,2008,Denver,Portland,1,110,93,-700.0,550.0,212.0,11.0,105.0
2007-11-14,2008,Detroit,Golden State,0,111,104,-120.0,100.0,211.0,1.0,100.5
2007-11-14,2008,Houston,LA Lakers,1,90,93,-290.0,240.0,199.5,6.5,100.5
2007-11-14,2008,Indiana,Washington,0,90,103,200.0,-240.0,200.5,-5.5,99.0
2007-11-14,2008,LA Clippers,New York,1,84,81,-325.0,275.0,200.5,7.5,99.0
2007-11-14,2008,Memphis,Milwaukee,0,99,102,220.0,-260.0,206.5,-6.5,101.0
2007-11-14,2008,Miami,Seattle,1,95,104,-290.0,240.0,191.5,7.0,92.5
2007-11-14,2008,Minnesota,Sacramento,1,108,103,-130.0,110.0,190.5,2.0,96.0
2007-11-14,2008,New Orleans,Philadelphia,1,95,76,-450.0,370.0,187.5,8.5,93.0
2007-11-14,2008,Toronto,Utah,1,88,92,-110.0,-110.0,204.0,0.0,104.5
2007-11-15,2008,Chicago,Phoenix,0,102,112,355.0,-425.0,204.0,-8.5,102.0
2007-11-15,2008,Dallas,San Antonio,1,105,92,-125.0,105.0,189.5,1.5,94.0
2007-11-16,2008,Atlanta,Seattle,1,123,126,-275.0,235.0,204.5,6.0,100.5
2007-11-16,2008,Boston,Miami,1,92,91,-650.0,525.0,183.0,10.0,93.0
2007-11-16,2008,Cleveland,Utah,1,99,94,-125.0,105.0,199.5,1.5,103.0
2007-11-16,2008,Detroit,LA Lakers,0,91,103,155.0,-175.0,198.5,-4.0,98.0
2007-11-16,2008,Golden State,LA Clippers,1,122,105,-250.0,210.0,219.5,5.5,106.0
2007-11-16,2008,Houston,San Antonio,0,84,90,400.0,-500.0,177.5,-9.0,90.0
2007-11-16,2008,Indiana,Toronto,0,101,110,285.0,-335.0,195.5,-7.5,98.5
2007-11-16,2008,Memphis,New Orleans,1,118,120,140.0,-160.0,204.5,-3.0,99.5
2007-11-16,2008,Minnesota,Washington,1,89,105,150.0,-170.0,191.5,-3.5,99.5
2007-11-16,2008,New Jersey,Orlando,1,70,95,150.0,-170.0,186.0,-3.5,94.0
2007-11-16,2008,New York,Sacramento,0,118,123,150.0,-170.0,198.5,-3.5,98.5
2007-11-16,2008,Philadelphia,Portland,1,92,88,-150.0,130.0,184.0,3.0,93.0
2007-11-17,2008,Atlanta,Milwaukee,0,96,105,285.0,-335.0,196.5,-7.5,98.5
2007-11-17,2008,Charlotte,Seattle,1,100,84,-360.0,300.0,199.5,8.0,99.0
2007-11-17,2008,Chicago,LA Clippers,0,92,73,-160.0,140.0,187.0,3.0,92.5
2007-11-17,2008,Dallas,Memphis,1,108,105,-1500.0,950.0,213.0,14.0,105.0
2007-11-17,2008,Denver,New York,1,115,83,-1300.0,850.0,213.5,14.0,102.5
2007-11-17,2008,Houston,Phoenix,1,105,115,210.0,-250.0,196.0,-5.5,98.0
2007-11-17,2008,Indiana,Utah,1,117,97,190.0,-230.0,204.5,-5.0,107.0
2007-11-17,2008,Miami,New Jersey,0,91,87,-155.0,135.0,174.0,3.0,88.0
2007-11-17,2008,Minnesota,New Orleans,1,82,100,160.0,-190.0,188.0,-4.0,91.0
2007-11-17,2008,Portland,Washington,0,90,109,175.0,-205.0,190.0,-4.5,97.5
2007-11-18,2008,Boston,Orlando,0,102,104,-120.0,100.0,187.5,1.0,94.5
2007-11-18,2008,Chicago,LA Lakers,0,78,106,190.0,-230.0,198.0,-5.5,100.5
2007-11-18,2008,Detroit,Sacramento,0,95,105,-205.0,175.0,195.5,4.5,97.0
2007-11-18,2008,Golden State,Toronto,0,106,100,220.0,-260.0,219.5,-6.5,109.0
2007-11-19,2008,Charlotte,Portland,1,101,92,-230.0,190.0,190.5,5.5,97.5
2007-11-19,2008,Memphis,Seattle,1,125,108,-235.0,195.0,218.5,5.5,105.5
2007-11-19,2008,New Jersey,Utah,0,75,102,550.0,-700.0,191.0,-11.0,99.0
2007-11-19,2008,New Orleans,Orlando,1,88,95,-120.0,100.0,186.0,1.0,92.5
2007-11-20,2008,Atlanta,San Antonio,1,83,95,210.0,-250.0,190.0,-6.0,94.5
2007-11-20,2008,Chicago,Denver,0,91,112,370.0,-450.0,201.5,-8.5,101.0
2007-11-20,2008,Cleveland,Milwaukee,1,107,111,-290.0,240.0,193.5,6.5,97.0
2007-11-20,2008,Dallas,Toronto,1,105,99,-425.0,355.0,197.0,8.5,97.5
2007-11-20,2008,Golden State,New York,0,108,82,-120.0,100.0,220.0,1.0,104.5
2007-11-20,2008,Indiana,LA Lakers,1,114,134,105.0,-125.0,207.5,-1.5,102.5
2007-11-20,2008,Philadelphia,Washington,0,101,116,190.0,-230.0,183.5,-5.0,93.5
2007-11-20,2008,Phoenix,Sacramento,0,100,98,-330.0,280.0,218.0,7.5,106.0
2007-11-21,2008,Atlanta,Miami,0,82,79,360.0,-430.0,187.5,-8.0,93.5
2007-11-21,2008,Boston,Golden State,1,105,82,-820.0,620.0,214.0,11.0,103.0
2007-11-21,2008,Charlotte,Washington,1,111,114,-300.0,250.0,192.5,7.0,99.5
2007-11-21,2008,Cleveland,Minnesota,0,97,86,-230.0,190.0,191.5,5.0,96.5
2007-11-21,2008,Dallas,Houston,0,100,94,120.0,-140.0,190.0,-2.5,95.0
2007-11-21,2008,Denver,LA Clippers,0,90,101,-310.0,260.0,204.5,6.5,98.5
2007-11-21,2008,Detroit,New York,1,98,86,-800.0,600.0,192.5,10.5,94.5
2007-11-21,2008,Indiana,New Orleans,0,105,93,275.0,-325.0,199.0,-7.5,97.0
2007-11-21,2008,LA Lakers,Milwaukee,0,103,110,-135.0,115.0,208.0,2.0,103.0
2007-11-21,2008,Memphis,Toronto,1,89,95,-175.0,155.0,211.5,4.0,103.5
2007-11-21,2008,New Jersey,Portland,0,106,101,135.0,-155.0,183.5,-3.0,95.5
2007-11-21,2008,Orlando,San Antonio,0,110,128,225.0,-265.0,187.5,-6.0,94.5
2007-11-21,2008,Phoenix,Sacramento,1,127,111,-1600.0,1000.0,216.0,14.0,108.0
2007-11-23,2008,Boston,LA Lakers,1,107,94,-360.0,300.0,205.0,8.0,101.0
2007-11-23,2008,Charlotte,Orlando,0,92,105,400.0,-500.0,197.5,-9.5,98.5
2007-11-23,2008,Dallas,Indiana,0,107,111,-340.0,280.0,207.5,6.5,103.0
2007-11-23,2008,Denver,Minnesota,1,99,93,-1900.0,1500.0,209.0,14.0,104.0
2007-11-23,2008,Detroit,Philadelphia,1,83,78,-600.0,450.0,184.0,9.5,90.5
2007-11-23,2008,Golden State,Washington,0,123,115,-135.0,115.0,214.0,2.5,107.0
2007-11-23,2008,Houston,Miami,0,91,98,-165.0,145.0,179.5,3.5,91.5
2007-11-23,2008,LA Clippers,Phoenix,0,94,113,1250.0,-1650.0,211.5,-14.5,102.0
2007-11-23,2008,Memphis,San Antonio,0,88,101,650.0,-900.0,207.5,-12.5,101.5
2007-11-23,2008,New Jersey,Seattle,0,98,93,-160.0,140.0,195.5,3.0,99.5
2007-11-23,2008,New Orleans,Utah,0,71,99,250.0,-300.0,196.5,-6.0,95.5
2007-11-23,2008,Portland,Sacramento,1,87,84,-200.0,170.0,204.0,4.5,101.0
2007-11-24,2008,Atlanta,Minnesota,0,94,87,-195.0,165.0,190.0,4.5,95.5
2007-11-24,2008,Boston,Charlotte,0,96,95,-330.0,280.0,186.0,7.5,96.5
2007-11-24,2008,Chicago,New York,0,78,85,-140.0,120.0,185.0,2.5,90.0
2007-11-24,2008,Cleveland,Toronto,1,111,108,-200.0,170.0,190.5,4.5,97.0
2007-11-24,2008,Dallas,Milwaukee,0,95,97,-175.0,155.0,201.0,4.0,100.0
2007-11-24,2008,Denver,Houston,0,81,109,210.0,-250.0,200.5,-6.0,96.5
2007-11-24,2008,Golden State,Philadelphia,0,100,98,-165.0,145.0,206.5,3.5,103.5
2007-11-24,2008,LA Clippers,New Orleans,1,89,98,130.0,-150.0,185.0,-3.0,92.5
2007-11-24,2008,Memphis,Washington,1,124,118,-230.0,190.0,213.0,5.5,110.0
2007-11-24,2008,Miami,Orlando,0,99,120,235.0,-275.0,188.0,-7.0,94.0
2007-11-25,2008,Chicago,Toronto,0,78,93,175.0,-205.0,185.0,-4.5,92.0
2007-11-25,2008,Cleveland,Indiana,0,111,106,110.0,-130.0,205.0,-2.0,102.5
2007-11-25,2008,Detroit,Utah,1,93,103,100.0,-120.0,190.0,-1.0,97.5
2007-11-25,2008,LA Lakers,New Jersey,1,100,102,-290.0,240.0,199.5,6.5,103.0
2007-11-25,2008,San Antonio,Seattle,0,116,101,-600.0,475.0,199.0,10.0,100.0
2007-11-26,2008,Dallas,Washington,1,98,110,-1100.0,750.0,208.0,12.0,107.5
2007-11-26,2008,Golden State,Phoenix,1,129,114,170.0,-200.0,229.5,-5.0,113.0
2007-11-26,2008,Houston,LA Clippers,0,88,71,-275.0,235.0,189.5,6.5,93.5
2007-11-26,2008,Minnesota,New Orleans,0,103,94,600.0,-800.0,188.0,-10.5,92.0
2007-11-26,2008,New York,Utah,1,113,109,200.0,-240.0,194.0,-5.5,100.0
2007-11-26,2008,Orlando,Portland,0,85,74,-215.0,185.0,203.0,5.0,101.5
2007-11-26,2008,Sacramento,San Antonio,1,112,99,220.0,-260.0,194.5,-6.0,96.5
2007-11-27,2008,Atlanta,Chicago,0,78,90,190.0,-230.0,183.0,-5.0,90.5
2007-11-27,2008,Boston,Cleveland,0,104,109,-165.0,145.0,190.0,3.5,97.0
2007-11-27,2008,Charlotte,Miami,0,90,110,305.0,-365.0,187.0,-7.0,91.0
2007-11-27,2008,Denver,Indiana,1,110,112,-355.0,295.0,216.5,7.0,104.0
2007-11-27,2008,LA Lakers,Seattle,1,106,99,-900.0,650.0,218.0,12.5,109.0
2007-11-27,2008,Memphis,New Jersey,0,110,103,200.0,-240.0,206.0,-5.5,103.5
2007-11-27,2008,Milwaukee,Philadelphia,1,99,114,-265.0,225.0,187.0,6.0,95.5
2007-11-28,2008,Atlanta,Milwaukee,1,96,80,-170.0,150.0,197.5,3.5,99.0
2007-11-28,2008,Cleveland,Detroit,0,74,109,330.0,-400.0,189.0,-8.5,95.0
2007-11-28,2008,Dallas,Minnesota,1,109,103,-1700.0,1050.0,197.5,14.0,97.5
2007-11-28,2008,Golden State,Sacramento,0,103,96,-125.0,105.0,221.5,1.5,108.0
2007-11-28,2008,Houston,Phoenix,0,100,94,160.0,-190.0,206.0,-4.0,102.0
2007-11-28,2008,Indiana,Portland,0,95,89,160.0,-190.0,204.0,-4.0,100.5
2007-11-28,2008,Memphis,Toronto,0,91,103,250.0,-300.0,207.0,-6.5,101.0
2007-11-28,2008,Orlando,Seattle,0,110,94,-375.0,315.0,209.0,8.0,101.5
2007-11-28,2008,Philadelphia,Utah,1,95,106,220.0,-260.0,195.5,-6.5,103.0
2007-11-28,2008,San Antonio,Washington,1,109,94,-1100.0,750.0,200.0,12.5,104.0
2007-11-29,2008,Boston,New York,1,104,59,-1000.0,700.0,189.0,12.5,93.5
2007-11-29,2008,Denver,LA Lakers,0,99,127,190.0,-230.0,220.0,-5.0,109.0
2007-11-29,2008,Golden State,Houston,1,113,94,110.0,-130.0,208.5,-2.0,103.0
2007-11-30,2008,Atlanta,New Orleans,1,86,92,100.0,-120.0,187.0,-1.0,93.0
2007-11-30,2008,Boston,Miami,0,95,85,-145.0,125.0,185.0,2.5,92.0
2007-11-30,2008,Cleveland,Toronto,0,82,91,235.0,-275.0,189.0,-6.5,94.5
2007-11-30,2008,Dallas,Portland,1,91,80,-1300.0,850.0,198.5,13.0,101.5
2007-11-30,2008,Denver,LA Clippers,1,123,107,-500.0,400.0,208.0,9.5,101.0
2007-11-30,2008,Indiana,Seattle,0,93,95,-125.0,105.0,212.0,2.0,102.5
2007-11-30,2008,LA Lakers,Utah,0,96,120,190.0,-230.0,209.0,-5.0,106.0
2007-11-30,2008,Milwaukee,New York,0,88,91,-120.0,100.0,194.5,1.0,97.5
2007-11-30,2008,Minnesota,San Antonio,1,91,106,475.0,-600.0,192.0,-10.0,95.5
2007-11-30,2008,Orlando,Phoenix,0,106,110,190.0,-230.0,215.5,-5.5,106.0
2007-11-30,2008,Philadelphia,Washington,1,85,84,-145.0,125.0,195.0,2.5,102.5
2007-12-01,2008,Charlotte,Chicago,0,95,111,275.0,-325.0,183.0,-7.0,92.0
2007-12-01,2008,Dallas,New Orleans,0,108,112,-150.0,130.0,192.5,3.0,95.5
2007-12-01,2008,Detroit,Milwaukee,0,117,91,-230.0,190.0,192.5,5.0,95.5
2007-12-01,2008,Houston,Sacramento,0,99,107,-260.0,220.0,193.0,6.5,95.5
2007-12-01,2008,Memphis,Minnesota,1,109,80,-450.0,370.0,211.0,9.0,103.5
2007-12-01,2008,New Jersey,Philadelphia,1,94,92,-350.0,290.0,182.5,7.5,95.0
2007-12-01,2008,Toronto,Washington,0,97,101,135.0,-155.0,194.0,-3.0,100.0
2007-12-02,2008,Boston,Cleveland,1,80,70,-2800.0,1400.0,184.5,15.0,92.5
2007-12-02,2008,Denver,Miami,1,115,89,-215.0,185.0,207.0,5.0,102.0
2007-12-02,2008,Detroit,New Jersey,1,118,95,-355.0,295.0,184.0,8.0,95.0
2007-12-02,2008,Golden State,Seattle,0,109,96,-260.0,220.0,218.5,6.0,104.5
2007-12-02,2008,Indiana,LA Clippers,0,101,95,-110.0,-110.0,198.0,0.0,97.0
2007-12-02,2008,LA Lakers,Orlando,1,97,104,-115.0,-105.0,211.0,1.0,106.5
2007-12-02,2008,New York,Phoenix,1,104,115,330.0,-400.0,209.5,-8.5,102.5
2007-12-02,2008,Portland,San Antonio,0,79,100,950.0,-1500.0,188.0,-13.5,95.5
2007-12-03,2008,Atlanta,Philadelphia,0,88,79,135.0,-155.0,180.5,-3.0,92.0
2007-12-03,2008,Charlotte,Toronto,0,79,98,155.0,-175.0,190.5,-4.0,92.0
2007-12-03,2008,Chicago,Dallas,1,98,103,140.0,-160.0,189.0,-3.0,94.0
2007-12-03,2008,Golden State,Orlando,1,117,123,-170.0,150.0,217.5,4.0,105.5
2007-12-03,2008,Memphis,Portland,1,105,106,-425.0,355.0,204.0,8.5,105.5
2007-12-03,2008,Miami,Utah,0,101,110,475.0,-600.0,198.0,-10.0,97.5
2007-12-04,2008,Atlanta,Detroit,1,95,106,200.0,-240.0,188.5,-5.5,94.5
2007-12-04,2008,Cleveland,New Jersey,1,79,100,-155.0,135.0,182.0,2.5,94.5
2007-12-04,2008,Indiana,Phoenix,1,117,121,210.0,-250.0,219.0,-6.5,106.5
2007-12-04,2008,LA Clippers,Milwaukee,1,78,87,-130.0,110.0,193.0,1.5,96.0
2007-12-04,2008,LA Lakers,Minnesota,0,116,95,-350.0,290.0,205.0,7.5,102.0
2007-12-04,2008,Sacramento,Utah,1,117,107,125.0,-145.0,209.0,-2.5,106.5
2007-12-05,2008,Boston,Philadelphia,0,113,103,-550.0,450.0,178.5,9.5,91.5
2007-12-05,2008,Charlotte,Chicago,1,82,91,100.0,-120.0,185.0,-1.0,92.5
2007-12-05,2008,Cleveland,Washington,0,86,105,450.0,-550.0,189.5,-9.5,95.5
2007-12-05,2008,Dallas,San Antonio,0,95,97,-140.0,120.0,194.5,2.5,98.0
2007-12-05,2008,Denver,LA Lakers,1,107,111,-375.0,315.0,221.0,8.0,109.0
2007-12-05,2008,Detroit,New Orleans,0,91,76,100.0,-120.0,192.0,-1.0,93.5
2007-12-05,2008,Golden State,Milwaukee,1,120,90,-625.0,500.0,217.5,10.5,103.5
2007-12-05,2008,Houston,Memphis,1,105,92,-625.0,500.0,202.5,10.5,99.0
2007-12-05,2008,LA Clippers,Seattle,0,88,95,155.0,-175.0,195.0,-4.0,92.5
2007-12-05,2008,New Jersey,New York,1,93,100,-215.0,185.0,183.5,5.0,92.5
2007-12-05,2008,Phoenix,Toronto,0,136,123,-325.0,275.0,207.0,7.5,100.0
2007-12-06,2008,Atlanta,Minnesota,1,90,89,-450.0,370.0,188.5,9.0,94.5
2007-12-06,2008,Dallas,Denver,1,109,122,-400.0,330.0,214.0,8.5,106.5
2007-12-06,2008,Miami,Portland,0,106,112,-145.0,125.0,185.0,3.0,92.5
2007-12-07,2008,Boston,Toronto,1,112,84,-1300.0,850.0,189.0,12.0,93.0
2007-12-07,2008,Chicago,Detroit,0,98,91,290.0,-350.0,184.0,-7.5,90.0
2007-12-07,2008,Golden State,Miami,1,120,113,-450.0,370.0,213.5,9.0,106.0
2007-12-07,2008,Houston,New Jersey,0,96,89,-215.0,185.0,184.0,5.0,93.0
2007-12-07,2008,Indiana,Orlando,0,115,109,290.0,-350.0,208.5,-8.0,102.5
2007-12-07,2008,LA Clippers,Sacramento,0,97,87,190.0,-230.0,190.5,-5.0,93.0
2007-12-07,2008,Memphis,New Orleans,0,116,118,240.0,-290.0,206.0,-7.0,102.0
2007-12-07,2008,Milwaukee,Seattle,0,98,104,-110.0,-110.0,201.5,0.0,101.0
2007-12-07,2008,New York,Philadelphia,0,90,101,155.0,-175.0,186.0,-4.0,93.5
2007-12-07,2008,Phoenix,Washington,0,122,107,-270.0,230.0,222.0,6.5,109.5
2007-12-07,2008,San Antonio,Utah,1,104,98,-105.0,-115.0,202.5,-1.0,104.5
2007-12-08,2008,Atlanta,Memphis,1,86,78,-190.0,160.0,204.0,4.0,100.0
2007-12-08,2008,Boston,Chicago,0,92,81,-240.0,200.0,184.0,5.5,92.0
